name,ticker,price,prev_close,change,change_pct,high,low,volume,timestamp,region
Dow Jones,^DJI,47147.48,47457.22,-309.74,-0.65,47380.07,46863.05,552330000,2025-11-16 00:59:53,US
S&P 500,^GSPC,6734.11,6737.49,-3.38,-0.05,6774.31,6646.87,5042660000,2025-11-16 00:59:53,US
NASDAQ,^IXIC,22900.59,22870.36,30.23,0.13,23073.18,22436.79,10841540000,2025-11-16 00:59:54,US
Russell 2000,^RUT,2388.23,2382.98,5.25,0.22,2400.45,2345.1,5042660000,2025-11-16 00:59:54,US
VIX,^VIX,19.83,20.0,-0.17,-0.85,23.03,19.56,0,2025-11-16 00:59:55,US
FTSE 100,^FTSE,9698.4,9807.7,-109.3,-1.11,9807.7,9610.5,715744700,2025-11-16 00:59:55,Europe
DAX,^GDAXI,23876.55,24041.62,-165.07,-0.69,23992.12,23609.06,64036000,2025-11-16 00:59:56,Europe
CAC 40,^FCHI,8170.09,8232.49,-62.4,-0.76,8202.48,8084.23,54654300,2025-11-16 00:59:57,Europe
Euro Stoxx 50,^STOXX50E,5693.77,5742.79,-49.02,-0.85,5731.16,5631.18,23151100,2025-11-16 00:59:57,Europe
Nikkei 225,^N225,50376.53,51281.83,-905.3,-1.77,50767.74,50246.6,149300000,2025-11-16 00:59:58,Asia
Hang Seng,^HSI,26572.46,27073.03,-500.57,-1.85,26881.88,26535.42,2809900000,2025-11-16 00:59:58,Asia
Shanghai,000001.SS,3990.49,4029.5,-39.01,-0.97,4034.08,3990.31,622000,2025-11-16 00:59:59,Asia
KOSPI,^KS11,4011.57,4170.63,-159.06,-3.81,4092.76,4011.4,400000,2025-11-16 00:59:59,Asia
Taiwan,^TWII,27397.5,27903.56,-506.06,-1.81,27816.45,27383.34,5171300,2025-11-16 00:59:59,Asia
Nifty 50,^NSEI,25910.05,25879.15,30.9,0.12,25940.2,25740.8,518900,2025-11-16 01:00:00,India
Bank Nifty,^NSEBANK,58517.55,58381.95,135.6,0.23,58590.15,58050.0,114800,2025-11-16 01:00:00,India
Sensex,^BSESN,84562.78,84478.67,84.11,0.1,84697.87,84029.32,8800,2025-11-16 01:00:00,India
Nifty IT,^CNXIT,36301.25,36679.5,-378.25,-1.03,36503.0,35957.3,25000,2025-11-16 01:00:01,India
Crude Oil,CL=F,60.09,58.69,1.4,2.39,60.65,58.71,247349,2025-11-16 01:00:02,Commodities
Gold,GC=F,4087.6,4186.9,-99.3,-2.37,4197.9,4047.0,167,2025-11-16 01:00:02,Commodities
Bitcoin,BTC-USD,95938.56,94397.79,1540.77,1.63,96627.28,94509.16,62498181120,2025-11-16 01:00:02,Commodities
